iter	Passed	Remaining
258	1278	3658
259	1283	3652
260	1289	3651
261	1294	3647
262	1298	3638
263	1305	3638
264	1309	3632
265	1313	3623
266	1319	3621
267	1324	3616
268	1328	3610
269	1332	3603
270	1337	3598
271	1342	3592
272	1345	3582
273	1366	3619
274	1370	3612
275	1373	3604
276	1377	3594
277	1381	3587
278	1385	3581
279	1390	3574
280	1393	3565
281	1397	3559
282	1401	3551
283	1405	3542
284	1408	3534
285	1413	3529
286	1418	3524
287	1422	3516
288	1426	3510
289	1431	3504
290	1435	3496
291	1438	3487
292	1441	3478
293	1446	3472
294	1450	3465
295	1453	3456
296	1457	3450
297	1461	3443
298	1466	3437
299	1469	3428
300	1473	3420
301	1476	3412
302	1480	3406
303	1484	3397
304	1487	3389
305	1491	3383
306	1495	3376
307	1498	3367
308	1501	3358
309	1507	3354
310	1511	3347
311	1514	3340
312	1518	3332
313	1523	3328
314	1527	3322
315	1531	3315
316	1535	3308
317	1541	3306
318	1546	3302
319	1552	3299
320	1559	3297
321	1563	3291
322	1568	3287
323	1576	3288
324	1589	3301
325	1595	3298
326	1600	3294
327	1606	3291
328	1610	3283
329	1613	3276
330	1620	3274
331	1625	3269
332	1628	3262
333	1634	3259
334	1639	3254
335	1643	3248
336	1648	3243
337	1653	3238
338	1656	3230
339	1660	3222
340	1665	3217
341	1668	3211
342	1672	3203
343	1676	3197
344	1696	3220
345	1700	3214
346	1705	3208
347	1710	3203
348	1714	3197
349	1718	3191
350	1722	3185
351	1727	3180
352	1732	3174
353	1736	3168
354	1740	3162
355	1745	3158
356	1749	3151
357	1752	3142
358	1756	3136
359	1761	3131
360	1765	3124
361	1768	3117
362	1772	3110
363	1776	3104
364	1780	3098
365	1784	3091
366	1789	3085
367	1793	3080
368	1797	3073
369	1800	3066
370	1805	3061
371	1809	3055
372	1813	3049
373	1817	3041
374	1822	3038
375	1826	3031
376	1830	3024
377	1834	3018
378	1838	3012
379	1843	3007
380	1847	3000
381	1851	2995
382	1854	2987
383	1859	2983
384	1863	2976
385	1868	2972
386	1873	2967
387	1876	2960
388	1883	2958
389	1888	2953
390	1893	2948
391	1896	2942
392	1904	2940
393	1909	2936
394	1912	2929
395	1918	2926
396	1923	2921
397	1929	2917
398	1934	2913
399	1939	2909
400	1943	2902
401	1949	2900
402	1954	2895
403	1958	2889
404	1965	2887
405	1972	2886
406	1982	2888
407	1989	2886
408	1994	2882
409	1999	2877
410	2004	2872
411	2009	2867
412	2046	2908
413	2051	2903
414	2055	2897
415	2059	2891
416	2062	2883
417	2067	2878
418	2070	2871
419	2075	2866
420	2080	2860
421	2084	2855
422	2089	2850
423	2094	2845
424	2098	2839
425	2102	2832
426	2107	2828
427	2112	2823
428	2117	2817
429	2121	2812
430	2126	2806
431	2129	2800
432	2133	2793
433	2138	2788
434	2141	2781
435	2145	2775
436	2149	2769
437	2154	2764
438	2158	2758
439	2162	2751
440	2165	2744
441	2170	2740
442	2174	2734
443	2178	2728
444	2181	2721
445	2186	2716
446	2190	2710
447	2194	2704
448	2198	2697
449	2201	2691
450	2206	2686
451	2210	2680
452	2214	2673
453	2218	2668
454	2222	2661
455	2226	2655
456	2229	2648
457	2233	2643
458	2238	2637
459	2242	2631
460	2246	2626
461	2251	2621
462	2255	2615
463	2259	2610
464	2263	2604
465	2267	2597
466	2270	2591
467	2273	2584
468	2277	2578
469	2281	2573
470	2285	2566
471	2288	2560
472	2291	2553
473	2296	2548
474	2300	2542
475	2304	2536
476	2308	2530
477	2312	2525
478	2317	2520
479	2322	2515
480	2336	2521
481	2356	2532
482	2361	2527
483	2379	2536
484	2385	2533
485	2395	2533
486	2403	2531
487	2413	2532
488	2419	2528
489	2428	2527
490	2436	2525
491	2448	2528
492	2454	2524
493	2458	2518
494	2473	2523
495	2478	2518
496	2482	2512
497	2487	2507
498	2492	2502
499	2497	2497
500	2502	2492
501	2507	2487
502	2512	2482
503	2516	2476
504	2521	2471
505	2525	2465
506	2554	2483
507	2559	2479
508	2564	2474
509	2570	2469
510	2574	2464
511	2578	2457
512	2584	2453
513	2588	2447
514	2593	2442
515	2599	2437
516	2604	2433
517	2608	2427
518	2614	2422
519	2619	2417
520	2624	2412
521	2626	2405
522	2631	2399
523	2635	2394
524	2639	2388
525	2644	2383
526	2649	2378
527	2653	2372
528	2658	2367
529	2664	2362
530	2669	2357
531	2672	2351
532	2678	2346
533	2682	2340
534	2686	2334
535	2691	2329
536	2696	2324
537	2700	2319
538	2704	2312
539	2710	2309
540	2715	2304
541	2719	2298
542	2726	2294
543	2731	2289
544	2737	2285
545	2742	2280
546	2746	2274
547	2752	2270
548	2756	2264
549	2761	2259
550	2765	2253
551	2770	2248
552	2776	2243
553	2781	2239
554	2786	2234
555	2791	2228
556	2796	2223
557	2802	2219
558	2807	2214
559	2811	2209
560	2817	2204
561	2826	2203
562	2837	2202
563	2847	2201
564	2854	2197
565	2859	2192
566	2864	2187
567	2868	2181
568	2873	2176
569	2877	2170
570	2882	2165
571	2886	2160
572	2890	2154
573	2896	2149
574	2900	2143
575	2905	2138
576	2909	2132
577	2914	2127
578	2917	2121
579	2920	2115
580	2924	2108
581	2929	2103
582	2933	2098
583	2937	2092
584	2941	2086
585	2946	2081
586	2951	2076
587	2954	2069
588	2958	2064
589	2962	2058
590	2965	2052
591	2969	2046
592	2973	2040
593	2977	2035
594	2981	2029
595	2985	2023
596	2989	2018
597	2994	2012
598	2997	2006
599	3001	2000
600	3005	1995
601	3009	1989
602	3013	1984
603	3017	1978
604	3021	1973
605	3026	1967
606	3029	1961
607	3032	1955
608	3038	1950
609	3042	1945
610	3046	1939
611	3051	1934
612	3055	1929
613	3059	1923
614	3064	1918
615	3068	1912
616	3073	1907
617	3086	1908
618	3091	1902
619	3095	1897
620	3100	1892
621	3104	1886
622	3108	1881
623	3112	1875
624	3118	1871
625	3122	1865
626	3126	1859
627	3130	1854
628	3136	1849
629	3139	1844
630	3143	1838
631	3147	1832
632	3153	1828
633	3157	1822
634	3162	1817
635	3166	1812
636	3169	1806
637	3174	1801
638	3179	1796
639	3183	1790
640	3187	1785
641	3190	1779
642	3195	1773
643	3199	1768
644	3203	1763
645	3207	1757
646	3211	1752
647	3215	1746
648	3220	1741
649	3224	1736
650	3229	1731
651	3237	1727
652	3246	1725
653	3261	1725
654	3265	1719
655	3269	1714
656	3273	1709
657	3277	1703
658	3281	1698
659	3285	1692
660	3290	1687
661	3294	1682
662	3298	1676
663	3301	1670
664	3307	1665
665	3311	1660
666	3316	1655
667	3319	1650
668	3325	1645
669	3329	1640
670	3333	1634
671	3338	1629
672	3343	1624
673	3346	1618
674	3351	1613
675	3356	1608
676	3360	1603
677	3364	1598
678	3370	1593
679	3374	1588
680	3379	1583
681	3383	1577
682	3389	1573
683	3394	1568
684	3399	1563
685	3404	1558
686	3408	1552
687	3412	1547
688	3417	1542
689	3421	1537
690	3425	1531
691	3429	1526
692	3433	1521
693	3438	1516
694	3442	1510
695	3448	1506
696	3453	1501
697	3457	1495
698	3461	1490
699	3466	1485
700	3472	1480
701	3475	1475
702	3481	1470
703	3485	1465
704	3489	1460
705	3495	1455
706	3510	1454
707	3514	1449
708	3519	1444
709	3523	1439
710	3528	1434
711	3533	1429
712	3538	1424
713	3543	1419
714	3547	1414
715	3551	1408
716	3555	1403
717	3560	1398
718	3565	1393
719	3569	1388
720	3574	1383
721	3578	1377
722	3583	1372
723	3588	1368
724	3593	1363
725	3598	1358
726	3603	1353
727	3608	1348
728	3613	1343
729	3617	1338
730	3625	1334
731	3637	1331
732	3646	1328
733	3654	1324
734	3659	1319
735	3664	1314
736	3669	1309
737	3674	1304
738	3678	1299
739	3683	1294
740	3687	1288
741	3691	1283
742	3694	1277
743	3699	1272
744	3708	1269
745	3713	1264
746	3718	1259
747	3721	1253
748	3726	1248
749	3731	1243
750	3752	1244
751	3757	1239
752	3762	1234
753	3766	1228
754	3770	1223
755	3773	1218
756	3778	1212
757	3783	1207
758	3786	1202
759	3790	1196
760	3795	1191
761	3798	1186
762	3802	1181
763	3806	1175
764	3810	1170
765	3814	1165
766	3818	1159
767	3821	1154
768	3826	1149
769	3830	1144
770	3834	1138
771	3837	1133
772	3842	1128
773	3846	1123
774	3849	1117
775	3852	1112
776	3857	1107
777	3861	1101
778	3865	1096
779	3868	1091
780	3874	1086
781	3878	1081
782	3882	1075
783	3885	1070
784	3889	1065
785	3893	1060
786	3898	1054
787	3900	1049
788	3905	1044
789	3909	1039
790	3913	1033
791	3917	1028
792	3922	1024
793	3927	1019
794	3931	1013
795	3936	1008
796	3940	1003
797	3944	998
798	3948	993
799	3953	988
800	3957	983
801	3961	977
802	3966	973
803	3970	968
804	3974	962
805	3978	957
806	3982	952
807	3987	947
808	3990	942
809	3994	936
810	3999	932
811	4003	926
812	4006	921
813	4009	916
814	4013	911
815	4018	906
816	4021	900
817	4025	895
818	4029	890
819	4040	886
820	4050	883
821	4055	878
822	4063	873
823	4066	868
824	4070	863
825	4075	858
826	4079	853
827	4084	848
828	4088	843
829	4094	838
830	4100	833
831	4106	829
832	4110	824
833	4114	819
834	4119	814
835	4125	809
836	4129	804
837	4134	799
838	4139	794
839	4145	789
840	4149	784
841	4154	779
842	4160	774
843	4164	769
844	4168	764
845	4172	759
846	4176	754
847	4181	749
848	4185	744
849	4189	739
850	4193	734
851	4197	729
852	4202	724
853	4205	719
854	4209	713
855	4212	708
856	4217	703
857	4220	698
858	4224	693
859	4228	688
860	4233	683
861	4238	678
862	4242	673
863	4247	668
864	4253	663
865	4258	658
866	4262	653
867	4267	649
868	4271	643
869	4277	639
870	4282	634
871	4287	629
872	4292	624
873	4296	619
874	4301	614
875	4306	609
876	4311	604
877	4316	599
878	4320	594
879	4324	589
880	4329	584
881	4334	579
882	4339	574
883	4343	569
884	4349	565
885	4353	560
886	4356	555
887	4361	550
888	4365	545
889	4369	540
890	4373	535
891	4378	530
892	4382	525
893	4386	520
894	4391	515
895	4395	510
896	4399	505
897	4403	500
898	4408	495
899	4412	490
900	4416	485
901	4420	480
902	4427	475
903	4434	470
904	4443	466
905	4449	461
906	4456	456
907	4461	452
908	4465	447
909	4469	442
910	4475	437
911	4480	432
912	4485	427
913	4491	422
914	4495	417
915	4501	412
916	4507	407
917	4513	403
918	4519	398
919	4524	393
920	4538	389
921	4542	384
922	4548	379
923	4554	374
924	4560	369
925	4564	364
926	4570	359
927	4575	354
928	4581	350
929	4588	345
930	4593	340
931	4600	335
932	4605	330
933	4609	325
934	4616	320
935	4621	315
936	4625	311
937	4631	306
938	4635	301
939	4639	296
940	4644	291
941	4648	286
942	4653	281
943	4656	276
944	4662	271
945	4666	266
946	4670	261
947	4674	256
948	4679	251
949	4684	246
950	4687	241
951	4693	236
952	4697	231
953	4701	226
954	4704	221
955	4710	216
956	4714	211
957	4719	206
958	4723	201
959	4727	196
960	4731	192
961	4734	187
962	4738	182
963	4743	177
964	4747	172
965	4750	167
966	4754	162
967	4758	157
968	4762	152
969	4766	147
970	4771	142
971	4775	137
972	4779	132
973	4782	127
974	4788	122
975	4792	117
976	4795	112
977	4799	107
978	4805	103
979	4813	98
980	4820	93
981	4825	88
982	4829	83
983	4834	78
984	4838	73
985	4842	68
986	4845	63
987	4850	58
988	4855	54
989	4858	49
990	4862	44
991	4866	39
992	4870	34
993	4874	29
994	4878	24
995	4883	19
996	4886	14
997	4890	9
998	4893	4
999	4900	0
